time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
23274.950000	9.502990	-94.776520	-1373.773090	157.751610
23324.950000	9.572790	-94.395040	-1372.132770	157.781520
23374.950000	9.762250	-91.915480	-1372.743120	157.801470
23424.950000	9.682480	-95.005400	-1374.993800	157.841350
23474.950000	9.871940	-95.615750	-1373.162740	157.751610
23524.950000	9.861970	-94.089870	-1372.094620	157.871270
23574.950000	9.792170	-95.386870	-1371.484270	157.582090
23624.950000	10.051430	-95.615750	-1371.942030	157.911160
23674.950000	9.921800	-95.806490	-1372.247210	157.871270
23724.950000	9.802140	-95.386870	-1371.255380	157.901180
23774.950000	9.702420	-94.051720	-1371.102800	157.771550
23824.950000	9.652560	-93.784690	-1371.789440	157.721690
